ICN,Incident_Date,Date_Stamp,Subject,Country,ISO-3166-2,City,Geocode,Geocode_Anchor,Incident_Group_Type,Summary,Related_Term,Incident_Victims_Dead,Incident_Victims_Hostaged,Incident_Victims_Wounded,Incident_Included_Victims,Weapon,Event_Type,Geocode_Has_Value,Province_State,Assassination,IED,Incident_Day,Incident_Month,Month_Number,Incident_Year
201011896,31-Jul-10,2010-07-31,"5 vehicles damaged in arson by suspected NPA-CPP in New Bataan, Compostela Valley, Philippines",Philippines,PH,New Bataan,"7.540000,126.000000","Compostela Valley, Philippines,",Secular/Political/Anarchist,"On 31 July 2010, at about 8:30 AM, in New Bataan, Compostela Valley, Philippines, about 30 armed assailants barricaded, set fire to, and damaged five trucks carrying bananas.  No group claimed responsibility, but authorities believed that New People's Army/Communist Party of Philippines (NPA-CPP) was responsible.","Army, banana, Compostela Valley, New Bataan, New People, Philippines, truck",0,0,0,Yes,"Firearm, Firebomb/Incendiary","Arson/Firebombing, Barricade/Hostage",Yes,Compostela Valley,No,No,15,Sep,7,2010
201009104,24-May-10,2010-05-24,"3 soldiers killed, 5 others injured in armed attack, 3 civilians kidnapped by NPA-CPP in Banay-Banay, Davao Oriental, Philippines",Philippines,PH,Banay-Banay,"6.966667,126.000000","Banay-Banay, Davao Oriental, Philippines,",Secular/Political/Anarchist,"On 24 May 2010, in Maputi, Banay-Banay, Davao Oriental, Philippines, armed assailants fired upon soldiers guarding a road construction project, killing three soldiers and injuring five others.  The assailants also kidnapped three civilians and stole three trucks and 13 firearms while escaping, then released one of the civilians before leaving the area.  New People's Army/Communist Party of Philippines (NPA-CPP) claimed responsibility.","Banay, construction project, Davao, firearms, Philippines, project, road construction, road construction project, soldiers",3,3,5,Yes,Firearm,"Armed Attack, Kidnapping, Theft",Yes,Davao Oriental,No,No,20,Jan,5,2010
201008049,1-May-10,2010-05-01,"5 civilians injured in armed attack by NPA-CPP in Malimono, Surigao del Norte, Philippines",Philippines,PH,Malimono,"9.618056,125.402222","Malimono, Surigao del Norte, Philippines,",Secular/Political/Anarchist,"On 1 May 2010, at about 2:00 AM, in Malimono, Surigao del Norte, Philippines, approximately 50 assailants fired small arms and grenades upon a mayoral candidate's house, injuring three family members and two civilian passersby and damaging the house.  New People's Army/Communist Party of Philippines (NPA-CPP) claimed responsibility.","civilian passersby, house, mayoral candidate, passersby, Philippines, s house, Surigao",0,0,5,Yes,"Firearm, Grenade",Armed Attack,Yes,Surigao del Norte,No,No,9,Sep,5,2010
201007235,23-Mar-10,2010-03-23,"1 residence damaged in grenade attack in Iloilo, Iloilo City, Philippines",Philippines,PH,Iloilo,"10.696944,122.564446","Iloilo, Iloilo, Philippines,",Unknown,"On 23 March 2010, at about 3:00 AM, in Iloilo, Iloilo City, Philippines, assailants threw a grenade targeting the Iloilo Mayor's brother's house, damaging the house but causing no injuries.  No group claimed responsibility.","brother, grenade targeting, house, Iloilo, s brother, s house",0,0,0,Yes,Grenade,Armed Attack,Yes,Iloilo City,No,No,20,Mar,3,2010
201005777,17-Jan-10,2010-01-17,"2 police officers wounded in armed attack in Zamboanga, Zamboanga, Philippines",Philippines,PH,Zamboanga,"8.000000,122.666664","Zamboanga del Norte, Philippines,","Islamic Extremist (Unknown), Secular/Political/Anarchist","On 17 January 2010, in the night, in Mampang village in Zamboanga, Zamboanga, Philippines, armed assailants fired upon two police officers on a motorcycle, wounding both police officers and damaging their motorcycle.  No group claimed responsibility, although police suspected Muslim militants were responsible.","militants, motorcycle, Philippines, police, Zamboanga",0,0,2,Yes,Firearm,Armed Attack,Yes,Zamboanga,No,No,27,Mar,1,2010
201007233,23-Mar-10,2010-03-23,"1 business complex damaged in IED attack in Zamboanga, Zamboanga, Philippines",Philippines,PH,Zamboanga,"8.000000,122.666664","Zamboanga del Norte, Philippines,",Unknown,"On 23 March 2010, at about 10:00 PM, in Zamboanga, Zamboanga, Philippines, an assailant detonated an improvised explosive device (IED) in a business complex, damaging the complex but causing no injuries.  No group claimed responsibility.","business, complex, March, Philippines, Zamboanga",0,0,0,No,"Explosive, IED",Bombing,Yes,Zamboanga,No,Yes,3,Jul,3,2010
201005778,19-Jan-10,2010-01-19,"1 child wounded in grenade attack by suspected ASG in Lamitan, Basilan, Philippines",Philippines,PH,Lamitan,"6.660833,122.140831","Lamitan, Basilan, Philippines,",Islamic Extremist (Sunni),"On 19 January 2010, at about 8:30 PM, in Lamitan, Basilan, Philippines, assailants threw a grenade near the residence of the city's mayor, wounding one child and damaging three residences.  No group claimed responsibility, although authorities suspected the Abu Sayyaf Group (ASG) was responsible.","Abu Sayyaf Group, Basilan, city, Lamitan, mayor, residence, s mayor",0,0,1,Yes,Grenade,Armed Attack,Yes,Basilan,No,No,20,Jul,1,2010
201006168,4-Feb-10,2010-02-04,"9 police officers kidnapped and held hostage by suspected NPA-CPP in Dumaran, Palawan, Philippines",Philippines,PH,Dumaran,"10.556111,119.992775","Araceli, Palawan, Philippines,",Secular/Political/Anarchist,"On 4 February 2010, at about 7:30 AM, in Santa Teresita village in Dumaran, Palawan, Philippines, armed assailants kidnapped five police officers from their residences and used them as human shields while they stole weapons from a police station.  The assailants also briefly held hostage four other police officers who were guarding the station while the assailants conducted their raid.  The assailants released all nine police officers the same day.  No group claimed responsibility, although it was widely believed the New People's Army/Communist Party of the Philippines (NPA-CPP) was responsible.","human shields, Palawan, Philippines, police, raid, Santa Teresita, Shield, station",0,9,0,Yes,Firearm,"Barricade/Hostage, Kidnapping, Theft",Yes,Palawan,No,No,30,Mar,2,2010
201008068,14-Apr-10,2010-04-14,"1 civilian killed, 1 political supporter injured in armed attack in San Fernando, La Union, Philippines",Philippines,PH,San Fernando,"16.600000,120.300003","San Fernando, La Union, Philippines,",Secular/Political/Anarchist,"On 14 April 2010, at about 7:00 PM, in San Fernando, La Union, Philippines, two armed assailants fired upon a former political supporter in a store, killing one civilian and wounding the former political supporter.  No group claimed responsibility.","political supporters, San Fernando, store, supporters, union",1,0,1,Yes,Firearm,Armed Attack,Yes,La Union,No,No,3,Jul,4,2010
201008823,13-May-10,2010-05-13,"Many houses destroyed in arson by suspected political actor in Datu Montawal, Maguindanao, Philippines",Philippines,PH,Datu Montawal,"7.133333,124.300003","Maguindanao, Philippines,",Secular/Political/Anarchist,"On 13 May 2010, in Bulod and Balatongkaya villages, Datu Montawal, Maguindanao, Philippines, assailants set fire to residences, damaging many homes but causing no injuries.  No group claimed responsibility, but authorities believed that a political actor was responsible.","actor, Maguindanao, Philippines, political actor",0,0,0,Yes,Firebomb/Incendiary,Arson/Firebombing,Yes,Maguindanao,No,No,30,Jun,5,2010
