ICN,Event_Type_List
201006373,Armed Attack
201006376,Armed Attack
201006389,Armed Attack
201007526,Arson/Firebombing
201007526, Barricade/Hostage
201007526, Theft
201007528,Armed Attack
201007542,Armed Attack
201006794,Arson/Firebombing
201007522,Arson/Firebombing
201006312,Armed Attack
201006782,Armed Attack
201007547,Armed Attack
201006246,Armed Attack
201006245,Armed Attack
201006304,Armed Attack
201006358,Armed Attack
201006330,Armed Attack
201006341,Armed Attack
201006337,Armed Attack
201006342,Armed Attack
201006315,Armed Attack
201006331,Armed Attack
201006335,Armed Attack
201006357,Armed Attack
201006343,Armed Attack
201006328,Armed Attack
201006329,Armed Attack
201006349,Armed Attack
201006300,Armed Attack
201006321,Armed Attack
201006334,Armed Attack
201006242,Armed Attack
201006319,Armed Attack
201007543,Unknown
201007428,Unknown
201006378,Kidnapping
201009621,Kidnapping
201009620,Kidnapping
201006745,Armed Attack
201006745, Bombing
201006795,Bombing
201006402,Bombing
201006746,Armed Attack
201006446,Armed Attack
201006863,Armed Attack
201006902,Armed Attack
201006901,Armed Attack
201006607,Armed Attack
201006432,Arson/Firebombing
201007430,Arson/Firebombing
201007430, Kidnapping
201007430, Unknown
201006514,Armed Attack
201006686,Bombing
201006686, Suicide
201007277,Armed Attack
201006805,Unknown
201007429,Unknown
201007290,Kidnapping
201006749,Bombing
201006759,Bombing
201006757,Bombing
201006439,Bombing
201006434,Bombing
201006517,Bombing
201006844,Bombing
201006754,Armed Attack
201006427,Armed Attack
201006436,Armed Attack
201006437,Armed Attack
201006445,Armed Attack
201007612,Armed Attack
201007612, Near Miss/Non Attack Incident
201006447,Armed Attack
201006846,Armed Attack
201007424,Assault
201007424, Barricade/Hostage
201007424, Theft
201007426,Unknown
201007289,Unknown
201006750,Bombing
201006489,Bombing
201006475,Bombing
201006473,Bombing
201006470,Bombing
201006761,Armed Attack
201006763,Armed Attack
201006513,Armed Attack
201007770,Kidnapping
201006755,Armed Attack
201006755, Theft
201007246,Armed Attack
201008429,Arson/Firebombing
201008424,Arson/Firebombing
201008424, Assault
201006608,Armed Attack
201006752,Armed Attack
201006903,Armed Attack
201007270,Assault
201006772,Unknown
201007417,Kidnapping
201009638,Kidnapping
201006617,Bombing
201007006,Armed Attack
201007006, Bombing
201007200,Bombing
201007174,Bombing
201007172,Bombing
201006488,Bombing
201006875,Bombing
201006875, Suicide
201006978,Bombing
201006938,Armed Attack
201007014,Armed Attack
201007408,Armed Attack
201007408, Theft
201007248,Kidnapping
201007247,Kidnapping
201006936,Armed Attack
201006937,Armed Attack
201007149,Armed Attack
201007148,Armed Attack
201007462,Armed Attack
201007462, Arson/Firebombing
201006939,Bombing
201006659,Armed Attack
201007374,Assault
201008441,Bombing
201006981,Bombing
201007047,Armed Attack
201007047, Bombing
201007199,Bombing
201007221,Bombing
201006508,Bombing
201006490,Bombing
201006882,Bombing
201006882, Suicide
201007208,Bombing
201007474,Armed Attack
201006515,Armed Attack
201006878,Armed Attack
201006878, Kidnapping
201006961,Kidnapping
201008443,Arson/Firebombing
201006654,Armed Attack
201007554,Hijacking
201007220,Unknown
201007218,Unknown
201008449,Bombing
201006642,Bombing
201006949,Bombing
201007216,Bombing
201007178,Bombing
201006521,Bombing
201006536,Bombing
201006520,Bombing
201006904,Bombing
201006904, Suicide
201007568,Kidnapping
201006522,Armed Attack
201006529,Armed Attack
201006525,Armed Attack
201006957,Armed Attack
201006959,Armed Attack
201006954,Armed Attack
201006909,Armed Attack
201006906,Armed Attack
201006906, Bombing
201006906, Suicide
201006516,Arson/Firebombing
201006656,Arson/Firebombing
201006530,Armed Attack
201006911,Armed Attack
201006910,Armed Attack
201006531,Bombing
201006953,Bombing
201006655,Armed Attack
201008452,Assault
201007262,Kidnapping
201006866,Kidnapping
201009640,Kidnapping
201009639,Kidnapping
201006645,Bombing
201006908,Bombing
201006566,Bombing
201006581,Bombing
201006579,Bombing
201007674,Armed Attack
201006574,Armed Attack
201006569,Armed Attack
201006580,Armed Attack
201006876,Armed Attack
201006941,Armed Attack
201006940,Armed Attack
201006942,Armed Attack
201006942, Kidnapping
201006966,Armed Attack
201006643,Armed Attack
201007185,Armed Attack
201007403,Arson/Firebombing
201006565,Armed Attack
201006572,Armed Attack
201006914,Armed Attack
201007402,Bombing
201007383,Armed Attack
201007164,Kidnapping
201007164, Unknown
201007198,Unknown
201009642,Assault
201009642, Kidnapping
201008459,Bombing
201007161,Bombing
201006610,Bombing
201006609,Bombing
201006618,Bombing
201006590,Bombing
201006612,Bombing
201007165,Armed Attack
201007163,Armed Attack
201006623,Armed Attack
201006635,Armed Attack
201007144,Armed Attack
201007628,Armed Attack
201007628, Arson/Firebombing
201007162,Arson/Firebombing
201008454,Arson/Firebombing
201006614,Armed Attack
201006916,Armed Attack
201006917,Armed Attack
201007438,Armed Attack
201006589,Bombing
201007321,Bombing
201007321, Threat
201007166,Kidnapping
201007166, Unknown
201007685,Kidnapping
201007685, Unknown
201009584,Kidnapping
201009584, Unknown
201006648,Bombing
201006637,Bombing
201007033,Bombing
201007033, Suicide
201007412,Bombing
201006865,Bombing
201006627,Bombing
201006631,Bombing
201006639,Bombing
201006641,Bombing
201006634,Bombing
201006660,Bombing
201007517,Bombing
201006944,Armed Attack
201006732,Armed Attack
201006879,Armed Attack
201006877,Armed Attack
201006862,Armed Attack
201006646,Armed Attack
201006640,Armed Attack
201007354,Kidnapping
201007354, Theft
201007121,Armed Attack
201007120,Armed Attack
201007015,Armed Attack
201007122,Armed Attack
201007017,Armed Attack
201007624,Armed Attack
201007600,Armed Attack
201007602,Armed Attack
201007327,Armed Attack
201007327, Assault
201007327, Kidnapping
201008462,Arson/Firebombing
201006870,Arson/Firebombing
201006872,Arson/Firebombing
201006872, Kidnapping
201007226,Armed Attack
201007409,Armed Attack
201007183,Armed Attack
201007036,Unknown
201007415,Unknown
201007414,Unknown
201007075,Unknown
201007540,Kidnapping
201007519,Kidnapping
201007516,Kidnapping
201006946,Armed Attack
201006946, Near Miss/Non Attack Incident
201006952,Bombing
201006948,Bombing
201007040,Bombing
201012111,Bombing
201006668,Bombing
201006685,Bombing
201007019,Bombing
201007730,Armed Attack
201006647,Armed Attack
201006667,Armed Attack
201007604,Armed Attack
201007603,Armed Attack
201006869,Arson/Firebombing
201006670,Armed Attack
201006960,Armed Attack
201006824,Armed Attack
201006839,Armed Attack
201006823,Armed Attack
201006677,Assault
201006677, Kidnapping
201006951,Armed Attack
201006822,Bombing
201007062,Bombing
201007593,Bombing
201007084,Bombing
201007127,Bombing
201006979,Armed Attack
201006821,Armed Attack
201006684,Armed Attack
201006679,Armed Attack
201006676,Armed Attack
201006682,Armed Attack
201007125,Armed Attack
201007085,Armed Attack
201007079,Armed Attack
201007126,Armed Attack
201006721,Armed Attack
201006722,Armed Attack
201008350,Armed Attack
201007331,Armed Attack
201007331, Bombing
201008463,Arson/Firebombing
201007080,Armed Attack
201007128,Armed Attack
201006834,Armed Attack
201006827,Armed Attack
201006837,Armed Attack
201006835,Armed Attack
201006867,Armed Attack
201006830,Armed Attack
201006838,Armed Attack
201007527,Assault
201007512,Unknown
201007063,Unknown
201007061,Unknown
201007129,Unknown
201007495,Bombing
201006972,Bombing
201006806,Bombing
201006697,Bombing
201006739,Bombing
201006698,Bombing
201007173,Bombing
201007193,Bombing
201007479,Armed Attack
201007479, Near Miss/Non Attack Incident
201007365,Armed Attack
201007365, Barricade/Hostage
201007365, Hijacking
201007365, Theft
201006713,Armed Attack
201006716,Armed Attack
201006699,Armed Attack
201007089,Armed Attack
201007147,Armed Attack
201008465,Arson/Firebombing
201006833,Arson/Firebombing
201006868,Arson/Firebombing
201007494,Arson/Firebombing
201006841,Armed Attack
201007485,Armed Attack
201006971,Unknown
201007260,Kidnapping
201006809,Bombing
201007000,Bombing
201006975,Bombing
201007481,Bombing
201007481, Near Miss/Non Attack Incident
201007482,Bombing
201006808,Bombing
201006808, Threat
201006729,Bombing
201006730,Bombing
201007140,Bombing
201006976,Bombing
201007382,Bombing
201006977,Bombing
201007234,Bombing
201007518,Bombing
201006974,Armed Attack
201007031,Armed Attack
201007442,Kidnapping
201006836,Armed Attack
201007145,Kidnapping
201007088,Armed Attack
201007139,Armed Attack
201006737,Armed Attack
201007239,Armed Attack
201006848,Armed Attack
201006847,Armed Attack
201006851,Armed Attack
201006842,Armed Attack
201006845,Armed Attack
201006843,Armed Attack
201007625,Assault
201007625, Kidnapping
201007625, Theft
201007484,Unknown
201006871,Kidnapping
201006891,Bombing
201006850,Bombing
201007599,Bombing
201006765,Bombing
201006766,Bombing
201006812,Bombing
201006758,Bombing
201006840,Armed Attack
201006826,Armed Attack
201006810,Armed Attack
201006760,Armed Attack
201006764,Armed Attack
201006813,Armed Attack
201006756,Armed Attack
201007306,Armed Attack
201007306, Kidnapping
201007268,Armed Attack
201007271,Bombing
201007271, Suicide
201007272,Bombing
201007266,Bombing
201007513,Armed Attack
201006855,Armed Attack
201007299,Assault
201007299, Kidnapping
201007559,Unknown
201007686,Kidnapping
201007686, Theft
201008498,Bombing
201007450,Bombing
201007359,Bombing
201007444,Bombing
201007710,Bombing
201007067,Bombing
201007066,Bombing
201006854,Bombing
201006860,Bombing
201006814,Bombing
201007278,Bombing
201007341,Bombing
201007447,Armed Attack
201007397,Armed Attack
201007440,Armed Attack
201007456,Armed Attack
201007001,Armed Attack
201007010,Armed Attack
201006815,Armed Attack
201006816,Armed Attack
201006858,Armed Attack
201007151,Armed Attack
201007274,Armed Attack
201007309,Armed Attack
201006771,Arson/Firebombing
201007487,Armed Attack
201007453,Armed Attack
201007459,Armed Attack
201007283,Arson/Firebombing
201007411,Armed Attack
201007411, Arson/Firebombing
201007621,Arson/Firebombing
201007621, Barricade/Hostage
201007621, Theft
201007343,Armed Attack
201007267,Armed Attack
201007298,Armed Attack
201007664,Armed Attack
201007311,Armed Attack
201006853,Bombing
201007439,Armed Attack
201006852,Armed Attack
201007454,Armed Attack
201007529,Kidnapping
201007470,Kidnapping
201007486,Unknown
201007473,Unknown
201007490,Unknown
201007488,Unknown
201007443,Kidnapping
201007511,Unknown
201007472,Unknown
201007458,Unknown
201007483,Unknown
201007733,Kidnapping
201006728,Bombing
201007566,Bombing
201007312,Bombing
201007413,Bombing
201007009,Bombing
201006893,Bombing
201006889,Bombing
201006888,Bombing
201007233,Bombing
201007300,Bombing
201009634,Bombing
201007366,Armed Attack
201007561,Armed Attack
201007723,Armed Attack
201007016,Armed Attack
201007020,Armed Attack
201007020, Kidnapping
201007002,Armed Attack
201007065,Armed Attack
201006896,Armed Attack
201009047,Armed Attack
201009651,Armed Attack
201007671,Armed Attack
201007562,Armed Attack
201007013,Arson/Firebombing
201007138,Arson/Firebombing
201007235,Armed Attack
201007310,Armed Attack
201007712,Bombing
201007070,Bombing
201007069,Bombing
201006857,Armed Attack
201006856,Armed Attack
201006897,Armed Attack
201007688,Assault
201007363,Unknown
201012552,Kidnapping
201007508,Bombing
201007405,Bombing
201006913,Bombing
201006913, Suicide
201006919,Bombing
201006997,Bombing
201006930,Bombing
201006927,Bombing
201006928,Bombing
201006929,Bombing
201006924,Bombing
201006922,Bombing
201007320,Bombing
201007316,Bombing
201009649,Bombing
201007367,Armed Attack
201007550,Kidnapping
201007011,Armed Attack
201007086,Armed Attack
201007124,Arson/Firebombing
201007124, Barricade/Hostage
201007064,Armed Attack
201007064, Theft
201006923,Armed Attack
201007060,Armed Attack
201007106,Bombing
201007505,Armed Attack
201006921,Armed Attack
201007687,Assault
201007435,Bombing
201006786,Bombing
201007351,Armed Attack
201007351, Bombing
201006994,Bombing
201006985,Bombing
201006987,Bombing
201007108,Bombing
201007301,Bombing
201007384,Armed Attack
201007404,Armed Attack
201007404, Theft
201008271,Kidnapping
201007003,Armed Attack
201007018,Armed Attack
201006991,Armed Attack
201006998,Kidnapping
201006986,Armed Attack
201007779,Armed Attack
201007779, Kidnapping
201007302,Armed Attack
201007302, Kidnapping
201006787,Armed Attack
201007037,Armed Attack
201006781,Armed Attack
201007680,Armed Attack
201006883,Arson/Firebombing
201012563,Arson/Firebombing
201012563, Assault
201006995,Armed Attack
201007503,Unknown
201008237,Kidnapping
201008237, Theft
201008237, Unknown
201007787,Kidnapping
201008499,Bombing
201006801,Bombing
201007390,Bombing
201007315,Bombing
201007071,Bombing
201007326,Bombing
201007304,Bombing
201007304, Kidnapping
201007102,Bombing
201007102, Suicide
201007319,Armed Attack
201007012,Armed Attack
201007314,Armed Attack
201006790,Armed Attack
201007748,Armed Attack
201007798,Arson/Firebombing
201008500,Arson/Firebombing
201007280,Bombing
201007005,Assault
201007514,Unknown
201007799,Unknown
201007436,Bombing
201007249,Bombing
201007251,Bombing
201007114,Bombing
201007117,Bombing
201007116,Bombing
201007215,Bombing
201007355,Bombing
201007394,Bombing
201007375,Bombing
201007214,Armed Attack
201007232,Armed Attack
201007217,Armed Attack
201007250,Armed Attack
201007653,Armed Attack
201007007,Armed Attack
201007130,Armed Attack
201007115,Armed Attack
201007356,Armed Attack
201007803,Armed Attack
201008501,Arson/Firebombing
201007184,Arson/Firebombing
201007074,Armed Attack
201007334,Armed Attack
201007333,Armed Attack
201007264,Bombing
201007745,Bombing
201007133,Bombing
201007118,Bombing
201007021,Armed Attack
201007211,Unknown
201007224,Unknown
201008569,Theft
201008569, Unknown
201007910,Kidnapping
201007180,Bombing
201007181,Bombing
201007158,Bombing
201006886,Bombing
201007169,Bombing
201007155,Bombing
201007154,Bombing
201007156,Bombing
201007150,Bombing
201007152,Bombing
201007186,Bombing
201007303,Bombing
201007619,Bombing
201007281,Armed Attack
201007252,Armed Attack
201007187,Armed Attack
201007187, Kidnapping
201007188,Armed Attack
201007762,Armed Attack
201007078,Armed Attack
201007025,Armed Attack
201007758,Armed Attack
201007259,Armed Attack
201007377,Armed Attack
201007757,Armed Attack
201007329,Armed Attack
201007076,Armed Attack
201007531,Armed Attack
201007027,Armed Attack
201007480,Armed Attack
201007401,Armed Attack
201009636,Assault
201007225,Unknown
201009635,Assault
201009635, Kidnapping
201009637,Kidnapping
201007168,Bombing
201007357,Armed Attack
201007357, Bombing
201007357, Suicide
201007177,Bombing
201007179,Bombing
201007339,Bombing
201007358,Bombing
201007358, Suicide
201007160,Bombing
201007160, Suicide
201007255,Armed Attack
201007053,Armed Attack
201007697,Armed Attack
201007697, Hijacking
201007697, Near Miss/Non Attack Incident
201008505,Arson/Firebombing
201007305,Bombing
201007175,Bombing
201007256,Armed Attack
201007022,Armed Attack
201007360,Armed Attack
201007143,Assault
201007361,Assault
201007361, Kidnapping
201007257,Kidnapping
201008240,Unknown
201009586,Kidnapping
201007258,Bombing
201012110,Bombing
201007203,Bombing
201007206,Bombing
201007204,Bombing
201007525,Bombing
201008279,Armed Attack
201008279, Near Miss/Non Attack Incident
201007171,Armed Attack
201007171, Kidnapping
201007176,Armed Attack
201007207,Armed Attack
201007202,Armed Attack
201007167,Armed Attack
201007167, Arson/Firebombing
201007766,Armed Attack
201007275,Armed Attack
201007275, Kidnapping
201008506,Arson/Firebombing
201007342,Arson/Firebombing
201007253,Arson/Firebombing
201007191,Arson/Firebombing
201007806,Armed Attack
201007030,Assault
201007286,Unknown
201007273,Unknown
201007478,Unknown
201007284,Unknown
201008249,Unknown
201007370,Arson/Firebombing
201007370, Bombing
201007371,Arson/Firebombing
201007371, Bombing
201007368,Arson/Firebombing
201007368, Bombing
201007254,Bombing
201007242,Bombing
201007230,Bombing
201007241,Bombing
201007243,Bombing
201007240,Bombing
201007295,Bombing
201007369,Bombing
201007369, Suicide
201007279,Armed Attack
201007245,Armed Attack
201007228,Armed Attack
201007231,Armed Attack
201007244,Armed Attack
201007634,Armed Attack
201007373,Armed Attack
201007054,Armed Attack
201007807,Armed Attack
201007380,Arson/Firebombing
201007372,Arson/Firebombing
201007379,Arson/Firebombing
201007227,Armed Attack
201007024,Armed Attack
201007348,Armed Attack
201007287,Kidnapping
201007287, Unknown
201008382,Unknown
201009525,Bombing
201007903,Bombing
201007057,Armed Attack
201007057, Bombing
201007773,Bombing
201007774,Bombing
201007862,Bombing
201007451,Bombing
201007297,Bombing
201007291,Bombing
201007657,Bombing
201007636,Bombing
201007840,Kidnapping
201008400,Armed Attack
201007464,Armed Attack
201007637,Armed Attack
201008160,Armed Attack
201007182,Armed Attack
201007463,Arson/Firebombing
201007824,Bombing
201007824, Suicide
201007894,Armed Attack
201007294,Armed Attack
201008032,Assault
201007886,Unknown
201008027,Kidnapping
201007809,Bombing
201007328,Bombing
201007322,Bombing
201007655,Bombing
201007656,Bombing
201007654,Bombing
201007696,Bombing
201007815,Armed Attack
201007810,Armed Attack
201008246,Armed Attack
201007330,Armed Attack
201007648,Armed Attack
201007641,Armed Attack
201007698,Armed Attack
201007658,Armed Attack
201008001,Armed Attack
201008166,Arson/Firebombing
201007837,Armed Attack
201007892,Armed Attack
201008031,Assault
201007857,Unknown
201008421,Kidnapping
201007353,Bombing
201007854,Bombing
201007777,Bombing
201007986,Bombing
201007338,Bombing
201007345,Bombing
201007347,Bombing
201007346,Bombing
201007349,Bombing
201007340,Bombing
201007662,Bombing
201007660,Bombing
201007890,Armed Attack
201008071,Armed Attack
201008071, Kidnapping
201008071, Theft
201007659,Armed Attack
201008161,Armed Attack
201007195,Armed Attack
201007814,Arson/Firebombing
201008242,Armed Attack
201008242, Arson/Firebombing
201008043,Arson/Firebombing
201008043, Barricade/Hostage
201007909,Assault
201007909, Kidnapping
201007882,Armed Attack
201008046,Armed Attack
201007895,Armed Attack
201007350,Armed Attack
201007792,Kidnapping
201007888,Unknown
201007460,Bombing
201007852,Bombing
201007700,Bombing
201007887,Bombing
201007887, Kidnapping
201007791,Bombing
201007778,Bombing
201007796,Bombing
201007407,Bombing
201007410,Bombing
201007406,Bombing
201007418,Bombing
201007421,Bombing
201007378,Bombing
201007669,Bombing
201007753,Bombing
201007699,Bombing
201008167,Bombing
201007883,Armed Attack
201007793,Armed Attack
201007446,Armed Attack
201007524,Armed Attack
201007416,Armed Attack
201007100,Armed Attack
201007100, Kidnapping
201007100, Theft
201007695,Armed Attack
201007908,Assault
201007908, Kidnapping
201009954,Armed Attack
201009954, Bombing
201007802,Arson/Firebombing
201007802, Kidnapping
201007802, Theft
201008390,Armed Attack
201010706,Armed Attack
201010705,Armed Attack
201009962,Bombing
201007381,Bombing
201007393,Bombing
201007393, Near Miss/Non Attack Incident
201007393, Suicide
201007376,Bombing
201007739,Bombing
201007896,Armed Attack
201007419,Armed Attack
201007851,Unknown
201007893,Unknown
201007795,Unknown
201007536,Bombing
201007678,Armed Attack
201007678, Bombing
201007678, Suicide
201007812,Bombing
201007533,Bombing
201007535,Bombing
201007538,Bombing
201007682,Bombing
201007682, Suicide
201008169,Bombing
201008169, Suicide
201007811,Armed Attack
201007703,Armed Attack
201007532,Armed Attack
201007534,Armed Attack
201007701,Armed Attack
201008159,Armed Attack
201007308,Armed Attack
201007849,Arson/Firebombing
201007694,Arson/Firebombing
201007694, Assault
201007694, Kidnapping
201007222,Armed Attack
201007738,Armed Attack
201007885,Armed Attack
201007537,Armed Attack
201007539,Armed Attack
201007848,Kidnapping
201007848, Unknown
201008030,Kidnapping
201007617,Bombing
201007569,Bombing
201007813,Bombing
201007764,Bombing
201007776,Bombing
201007705,Bombing
201007705, Near Miss/Non Attack Incident
201007575,Bombing
201007575, Near Miss/Non Attack Incident
201008130,Armed Attack
201007596,Armed Attack
201007618,Bombing
201007595,Armed Attack
201007597,Armed Attack
201007134,Armed Attack
201007702,Armed Attack
201007737,Armed Attack
201009578,Armed Attack
201009578, Arson/Firebombing
201009578, Theft
201007622,Armed Attack
201007622, Assault
201007693,Armed Attack
201007704,Bombing
201007921,Armed Attack
201007922,Armed Attack
201007760,Armed Attack
201008378,Assault
201008378, Kidnapping
201008378, Theft
201008378, Unknown
201007923,Unknown
201008070,Unknown
201007728,Unknown
201008288,Bombing
201008282,Bombing
201007928,Bombing
201008273,Bombing
201007828,Bombing
201008295,Bombing
201008289,Bombing
201007818,Bombing
201007818, Suicide
201007652,Bombing
201007630,Bombing
201007644,Bombing
201007711,Bombing
201007714,Bombing
201007715,Bombing
201007713,Bombing
201007925,Kidnapping
201007649,Armed Attack
201007650,Armed Attack
201007709,Armed Attack
201007707,Armed Attack
201009705,Armed Attack
201008175,Armed Attack
201008171,Assault
201008171, Barricade/Hostage
201008171, Theft
201008280,Armed Attack
201007468,Arson/Firebombing
201007457,Armed Attack
201007689,Armed Attack
201007746,Armed Attack
201008272,Armed Attack
201007911,Armed Attack
201007897,Armed Attack
201008294,Unknown
201007839,Kidnapping
201008291,Unknown
201008292,Unknown
201008264,Kidnapping
201007465,Armed Attack
201007465, Bombing
201007860,Bombing
201007855,Bombing
201007853,Bombing
201008009,Bombing
201007726,Bombing
201008010,Bombing
201007724,Bombing
201007571,Bombing
201007767,Bombing
201007708,Bombing
201007825,Armed Attack
201007832,Armed Attack
201007668,Armed Attack
201007663,Armed Attack
201007794,Armed Attack
201007754,Armed Attack
201007755,Armed Attack
201007759,Armed Attack
201007449,Armed Attack
201007716,Armed Attack
201007692,Armed Attack
201007717,Armed Attack
201008168,Armed Attack
201007727,Assault
201009706,Kidnapping
201007865,Bombing
201007927,Bombing
201007836,Bombing
201007924,Bombing
201008011,Armed Attack
201009976,Armed Attack
201007749,Armed Attack
201007719,Armed Attack
201007756,Armed Attack
201007756, Kidnapping
201007681,Armed Attack
201007822,Armed Attack
201007750,Armed Attack
201008458,Kidnapping
201008491,Unknown
201007819,Bombing
201007817,Bombing
201007929,Bombing
201008029,Bombing
201007718,Bombing
201007718, Suicide
201007721,Bombing
201007722,Bombing
201008198,Bombing
201007838,Armed Attack
201007982,Armed Attack
201007765,Armed Attack
201007616,Barricade/Hostage
201007616, Theft
201009981,Armed Attack
201009981, Assault
201007800,Arson/Firebombing
201008222,Arson/Firebombing
201008263,Assault
201007930,Armed Attack
201008008,Armed Attack
201008402,Unknown
201008221,Bombing
201007296,Bombing
201007296, Hijacking
201007966,Bombing
201008147,Bombing
201008136,Bombing
201007684,Bombing
201008193,Armed Attack
201008121,Armed Attack
201007859,Armed Attack
201008137,Armed Attack
201008128,Armed Attack
201008155,Armed Attack
201007768,Armed Attack
201007768, Barricade/Hostage
201007768, Theft
201007564,Barricade/Hostage
201007564, Kidnapping
201007968,Armed Attack
201007970,Armed Attack
201007935,Armed Attack
201008056,Armed Attack
201008056, Arson/Firebombing
201007992,Arson/Firebombing
201007614,Armed Attack
201009887,Bombing
201008172,Armed Attack
201008706,Assault
201008706, Unknown
201009707,Kidnapping
201008647,Kidnapping
201008647, Theft
201008244,Bombing
201007996,Armed Attack
201007996, Bombing
201007996, Suicide
201008017,Bombing
201007971,Bombing
201008073,Bombing
201008018,Bombing
201007999,Bombing
201008139,Bombing
201007937,Bombing
201007938,Bombing
201007938, Near Miss/Non Attack Incident
201007943,Bombing
201007979,Bombing
201008504,Bombing
201008052,Armed Attack
201008143,Armed Attack
201007609,Kidnapping
201007936,Armed Attack
201008327,Armed Attack
201007736,Armed Attack
201008567,Armed Attack
201008051,Armed Attack
201008560,Armed Attack
201008425,Arson/Firebombing
201007691,Armed Attack
201008141,Bombing
201008141, Suicide
201007643,Bombing
201008088,Armed Attack
201008013,Armed Attack
201008140,Armed Attack
201007973,Armed Attack
201007864,Assault
201007826,Assault
201007826, Kidnapping
201007823,Assault
201007823, Kidnapping
201008615,Assault
201008000,Unknown
201007861,Unknown
201007863,Unknown
201008575,Kidnapping
201007452,Armed Attack
201007452, Bombing
201008079,Bombing
201008231,Bombing
201008235,Bombing
201008235, Near Miss/Non Attack Incident
201008213,Bombing
201008214,Bombing
201008209,Bombing
201008326,Bombing
201008212,Bombing
201008210,Bombing
201007946,Bombing
201008050,Armed Attack
201008021,Armed Attack
201008022,Armed Attack
201008023,Armed Attack
201009274,Armed Attack
201007573,Armed Attack
201007948,Armed Attack
201007672,Armed Attack
201007939,Arson/Firebombing
201008753,Arson/Firebombing
201008493,Arson/Firebombing
201008493, Theft
201007947,Armed Attack
201007987,Armed Attack
201007974,Bombing
201007940,Assault
201008565,Assault
201008574,Assault
201008571,Assault
201007670,Assault
201008014,Unknown
201008048,Unknown
201008076,Kidnapping
201008076, Unknown
201008269,Unknown
201008573,Unknown
201008045,Bombing
201008058,Bombing
201008287,Bombing
201008302,Bombing
201008247,Bombing
201008303,Bombing
201007835,Bombing
201007833,Bombing
201007949,Bombing
201007991,Bombing
201007827,Armed Attack
201008254,Armed Attack
201008239,Armed Attack
201008261,Armed Attack
201007489,Armed Attack
201007489, Barricade/Hostage
201007489, Kidnapping
201007583,Armed Attack
201008068,Armed Attack
201007590,Armed Attack
201007590, Barricade/Hostage
201007590, Theft
201007951,Armed Attack
201007951, Near Miss/Non Attack Incident
201007953,Armed Attack
201007675,Armed Attack
201007646,Armed Attack
201007676,Armed Attack
201008112,Armed Attack
201008112, Assault
201008224,Arson/Firebombing
201008507,Arson/Firebombing
201008572,Armed Attack
201007645,Armed Attack
201008041,Kidnapping
201008298,Unknown
201008600,Kidnapping
201008042,Bombing
201008059,Bombing
201008060,Bombing
201008033,Bombing
201008062,Bombing
201008061,Bombing
201008375,Bombing
201008363,Bombing
201009529,Bombing
201008306,Armed Attack
201008307,Armed Attack
201007626,Kidnapping
201007956,Armed Attack
201007954,Armed Attack
201007995,Armed Attack
201008252,Armed Attack
201007679,Armed Attack
201010046,Arson/Firebombing
201007741,Armed Attack
201008034,Bombing
201008034, Suicide
201008309,Armed Attack
201008035,Kidnapping
201008035, Theft
201007843,Armed Attack
201007843, Bombing
201007843, Suicide
201008446,Bombing
201008432,Bombing
201007950,Bombing
201007950, Near Miss/Non Attack Incident
201007842,Armed Attack
201008447,Armed Attack
201007988,Kidnapping
201007931,Armed Attack
201008257,Armed Attack
201008679,Kidnapping
201008679, Theft
201008434,Armed Attack
201007607,Armed Attack
201007997,Armed Attack
201008694,Armed Attack
201007993,Assault
201007993, Kidnapping
201008711,Assault
201007914,Unknown
201008183,Unknown
201007907,Bombing
201007845,Bombing
201008186,Bombing
201007906,Bombing
201007844,Bombing
201008842,Bombing
201008842, Near Miss/Non Attack Incident
201008448,Bombing
201008453,Bombing
201008438,Bombing
201007740,Bombing
201008040,Bombing
201007846,Bombing
201007846, Suicide
201007627,Bombing
201008444,Armed Attack
201008684,Armed Attack
201007952,Armed Attack
201008699,Bombing
201008697,Armed Attack
201008189,Kidnapping
201008178,Kidnapping
201007918,Unknown
201007933,Kidnapping
201009713,Kidnapping
201008709,Kidnapping
201008129,Armed Attack
201008129, Bombing
201008184,Bombing
201007876,Bombing
201007915,Bombing
201008460,Bombing
201008457,Bombing
201008440,Bombing
201008461,Bombing
201008196,Armed Attack
201008196, Kidnapping
201008995,Kidnapping
201008445,Armed Attack
201008456,Armed Attack
201008015,Armed Attack
201007989,Armed Attack
201008611,Armed Attack
201007967,Arson/Firebombing
201007967, Theft
201007847,Bombing
201007847, Suicide
201008002,Assault
201008182,Unknown
201009714,Kidnapping
201008203,Bombing
201008617,Bombing
201007978,Assault
201007978, Bombing
201007904,Bombing
201007919,Bombing
201008488,Bombing
201007877,Bombing
201007879,Bombing
201007879, Suicide
201007934,Bombing
201007898,Armed Attack
201008187,Armed Attack
201007878,Armed Attack
201009216,Kidnapping
201008779,Armed Attack
201008485,Armed Attack
201007965,Armed Attack
201007959,Armed Attack
201008359,Armed Attack
201008265,Armed Attack
201008381,Arson/Firebombing
201008228,Arson/Firebombing
201007889,Arson/Firebombing
201007889, Unknown
201007963,Armed Attack
201007891,Bombing
201007942,Armed Attack
201007941,Armed Attack
201007976,Armed Attack
201008705,Armed Attack
201008716,Barricade/Hostage
201008858,Bombing
201008618,Bombing
201007899,Bombing
201007900,Bombing
201007902,Bombing
