ICN,Event_Type_List
200911867,Armed Attack
200911775,Assault
200911765,Assault
200911894,Kidnapping
200911716,Bombing
200911807,Bombing
200912013,Bombing
200911988,Bombing
200912104,Bombing
200911776,Bombing
200911714,Bombing
200911714, Near Miss/Non Attack Incident
200911892,Bombing
200911930,Bombing
200911469,Armed Attack
200911806,Armed Attack
200911980,Armed Attack
200911968,Armed Attack
200911978,Kidnapping
200911971,Armed Attack
200912075,Armed Attack
200911893,Armed Attack
200911893, Near Miss/Non Attack Incident
200911852,Armed Attack
200911903,Hijacking
200911744,Kidnapping
200911746,Kidnapping
200911748,Kidnapping
200911804,Armed Attack
200912139,Armed Attack
200912152,Arson/Firebombing
200911962,Armed Attack
200911960,Bombing
200911829,Armed Attack
200911975,Armed Attack
200911805,Assault
200911805, Barricade/Hostage
200912378,Unknown
200911470,Unknown
200911869,Barricade/Hostage
200911754,Assault
200911528,Bombing
200911528, Suicide
200911721,Bombing
200912007,Bombing
200912001,Bombing
200911858,Bombing
200912141,Bombing
200912000,Bombing
200912000, Suicide
200911719,Armed Attack
200911719, Near Miss/Non Attack Incident
200912173,Armed Attack
200912023,Armed Attack
200912009,Armed Attack
200912012,Armed Attack
200912025,Armed Attack
200912186,Unknown
200911835,Armed Attack
200911756,Kidnapping
200912142,Armed Attack
200912144,Armed Attack
200912010,Armed Attack
200911822,Armed Attack
200911737,Armed Attack
200911723,Assault
200912105,Kidnapping
200912174,Unknown
200912130,Barricade/Hostage
200912130, Theft
200911815,Bombing
200911828,Bombing
200912026,Bombing
200911864,Bombing
200911863,Bombing
200911542,Armed Attack
200911998,Armed Attack
200911839,Armed Attack
200911766,Kidnapping
200911767,Kidnapping
200911757,Kidnapping
200911768,Kidnapping
200912187,Armed Attack
200912147,Armed Attack
200912145,Armed Attack
200912194,Armed Attack
200912045,Armed Attack
200911825,Arson/Firebombing
200912159,Armed Attack
200911738,Armed Attack
200912109,Armed Attack
200912148,Armed Attack
200911860,Armed Attack
200912044,Armed Attack
200911823,Assault
200911824,Assault
200911722,Kidnapping
200912179,Unknown
201000173,Bombing
201000081,Bombing
201000167,Bombing
201000004,Bombing
201000003,Bombing
201000076,Bombing
201000094,Bombing
201000077,Bombing
201000052,Bombing
201000171,Armed Attack
201000012,Armed Attack
201000282,Kidnapping
201000284,Kidnapping
201000678,Armed Attack
201000678, Theft
201005986,Armed Attack
201005986, Threat
201000078,Armed Attack
201000078, Arson/Firebombing
201000559,Armed Attack
201000559, Arson/Firebombing
201000559, Theft
201000454,Arson/Firebombing
201000454, Theft
201000329,Arson/Firebombing
201000526,Arson/Firebombing
201000437,Armed Attack
201000049,Bombing
201000049, Suicide
201000325,Bombing
201000333,Armed Attack
201000334,Armed Attack
201000717,Assault
201000283,Assault
201000283, Kidnapping
201006023,Unknown
201000281,Assault
201000281, Kidnapping
201000452,Kidnapping
201000452, Unknown
201000142,Bombing
201000215,Bombing
201000009,Bombing
201000054,Bombing
201000177,Armed Attack
201000177, Near Miss/Non Attack Incident
201000175,Armed Attack
201000199,Armed Attack
201000010,Armed Attack
201000326,Armed Attack
201000285,Kidnapping
201000285, Theft
201000449,Armed Attack
201006899,Armed Attack
201006899, Assault
201006899, Barricade/Hostage
201006899, Theft
201000011,Armed Attack
201000007,Bombing
201000217,Bombing
201000080,Armed Attack
201000174,Assault
201000792,Assault
201000440,Bombing
201000189,Bombing
201000059,Bombing
201000056,Bombing
201006031,Kidnapping
201000183,Armed Attack
201000133,Armed Attack
201000013,Armed Attack
201000060,Armed Attack
201000289,Kidnapping
201000293,Kidnapping
201000729,Barricade/Hostage
201000729, Theft
201000265,Armed Attack
201006900,Arson/Firebombing
201006900, Assault
201006900, Kidnapping
201006900, Theft
201000457,Armed Attack
201000014,Armed Attack
201000213,Assault
201000565,Assault
201000565, Theft
201000291,Assault
201000291, Kidnapping
201000638,Unknown
201000675,Hijacking
201000675, Kidnapping
201000176,Unknown
201000438,Bombing
201000180,Bombing
201000018,Bombing
201000182,Armed Attack
201000187,Armed Attack
201000041,Armed Attack
201000198,Armed Attack
201000200,Armed Attack
201000516,Armed Attack
201000138,Armed Attack
201000839,Armed Attack
201000839, Arson/Firebombing
201000212,Arson/Firebombing
201000075,Arson/Firebombing
201005796,Arson/Firebombing
201000062,Arson/Firebombing
201000567,Arson/Firebombing
201000567, Assault
201000567, Kidnapping
201000567, Theft
201000022,Armed Attack
201000019,Armed Attack
201000327,Armed Attack
201000713,Armed Attack
201000458,Bombing
201000017,Bombing
201000211,Armed Attack
201000719,Armed Attack
201006049,Kidnapping
201006029,Kidnapping
201006053,Unknown
201000571,Kidnapping
201000571, Unknown
201000793,Kidnapping
201000150,Bombing
201000083,Bombing
201000063,Bombing
201000184,Armed Attack
201000164,Armed Attack
201000528,Armed Attack
201000114,Armed Attack
201000114, Kidnapping
201000114, Other
201000566,Arson/Firebombing
201000566, Theft
201000754,Arson/Firebombing
201000773,Arson/Firebombing
201000067,Armed Attack
201000066,Armed Attack
201006051,Unknown
201000123,Bombing
201000119,Bombing
201006129,Bombing
201000118,Bombing
201000120,Bombing
201000030,Bombing
201000033,Bombing
201000029,Bombing
201000226,Bombing
201005714,Bombing
201000168,Armed Attack
201000179,Armed Attack
201000043,Armed Attack
201000036,Armed Attack
201000520,Armed Attack
201000844,Armed Attack
201000843,Armed Attack
201000842,Armed Attack
201000024,Armed Attack
201000203,Armed Attack
201005798,Arson/Firebombing
201000188,Armed Attack
201005808,Armed Attack
201000210,Bombing
201000443,Bombing
201000443, Suicide
201000165,Bombing
201000209,Armed Attack
201000035,Armed Attack
201005787,Assault
201005787, Vandalism
201000122,Bombing
201000121,Bombing
201000020,Bombing
201000125,Bombing
201000125, Suicide
201000042,Bombing
201000037,Bombing
201000040,Bombing
201000863,Bombing
201000862,Bombing
201000849,Bombing
201006074,Kidnapping
201000377,Armed Attack
201000451,Armed Attack
201000679,Armed Attack
201005771,Arson/Firebombing
201000448,Armed Attack
201000038,Armed Attack
201000231,Arson/Firebombing
201006076,Bombing
201006132,Bombing
201006132, Suicide
201000044,Bombing
201006071,Armed Attack
201006072,Armed Attack
201000021,Armed Attack
201000261,Armed Attack
201000328,Armed Attack
201000359,Armed Attack
201000721,Armed Attack
201006122,Unknown
201005794,Kidnapping
201005794, Unknown
201000741,Kidnapping
201000154,Bombing
201006101,Bombing
201000708,Bombing
201000046,Bombing
201000047,Bombing
201000227,Bombing
201000201,Kidnapping
201000127,Armed Attack
201000677,Armed Attack
201000057,Armed Attack
201000218,Armed Attack
201000523,Arson/Firebombing
201000144,Arson/Firebombing
201000144, Kidnapping
201000048,Bombing
201000266,Assault
201000815,Assault
201000140,Unknown
201000141,Unknown
201000269,Kidnapping
201000064,Bombing
201000178,Bombing
201000137,Bombing
201000152,Bombing
201000701,Bombing
201000053,Bombing
201000058,Bombing
201000228,Bombing
201006133,Kidnapping
201000055,Armed Attack
201000220,Armed Attack
201000239,Armed Attack
201000239, Kidnapping
201000229,Armed Attack
201000229, Near Miss/Non Attack Incident
201000181,Armed Attack
201000376,Armed Attack
201006130,Armed Attack
201000069,Armed Attack
201000740,Assault
201000146,Kidnapping
201000816,Kidnapping
201000170,Bombing
201000139,Bombing
201000072,Bombing
201000070,Bombing
201000087,Bombing
201000221,Bombing
201000222,Bombing
201000250,Armed Attack
201000252,Armed Attack
201000599,Kidnapping
201005677,Armed Attack
201000868,Armed Attack
201000866,Armed Attack
201000028,Arson/Firebombing
201000028, Barricade/Hostage
201000028, Kidnapping
201000693,Armed Attack
201000263,Arson/Firebombing
201000525,Armed Attack
201000082,Bombing
201005717,Assault
201000169,Armed Attack
201000819,Kidnapping
201000819, Unknown
201000735,Kidnapping
201000259,Bombing
201000259, Suicide
201000390,Bombing
201000045,Bombing
201000085,Bombing
201000298,Armed Attack
201000314,Armed Attack
201000086,Armed Attack
201000270,Armed Attack
201000502,Armed Attack
201000497,Armed Attack
201005709,Armed Attack
201006050,Arson/Firebombing
201000292,Arson/Firebombing
201006033,Armed Attack
201000370,Armed Attack
201000254,Unknown
201005818,Bombing
201000504,Bombing
201000391,Bombing
201000088,Bombing
201000498,Bombing
201000093,Armed Attack
201000158,Armed Attack
201000089,Armed Attack
201000295,Armed Attack
201000290,Armed Attack
201000600,Kidnapping
201000603,Kidnapping
201005712,Armed Attack
201006363,Armed Attack
201006363, Arson/Firebombing
201006363, Assault
201006363, Kidnapping
201006363, Theft
201000814,Armed Attack
201000267,Armed Attack
201000277,Bombing
201000090,Armed Attack
201000090, Near Miss/Non Attack Incident
201000091,Armed Attack
201000271,Armed Attack
201000271, Bombing
201005723,Armed Attack
201005723, Bombing
201000268,Bombing
201000255,Bombing
201000096,Bombing
201000097,Bombing
201000372,Bombing
201000245,Bombing
201000304,Armed Attack
201000113,Armed Attack
201000113, Barricade/Hostage
201000107,Armed Attack
201000098,Armed Attack
201005774,Kidnapping
201005774, Theft
201005773,Arson/Firebombing
201005739,Armed Attack
201005739, Arson/Firebombing
201000818,Armed Attack
201000818, Assault
201000818, Barricade/Hostage
201000818, Kidnapping
201000818, Theft
201000116,Arson/Firebombing
201000116, Barricade/Hostage
201000556,Armed Attack
201000253,Bombing
201000253, Suicide
201000095,Bombing
201000095, Suicide
201005733,Bombing
201000374,Armed Attack
201000817,Armed Attack
201000262,Bombing
201000262, Suicide
201000258,Bombing
201000258, Suicide
201000106,Bombing
201000129,Bombing
201000104,Bombing
201000101,Bombing
201000412,Armed Attack
201000102,Armed Attack
201000100,Armed Attack
201000246,Armed Attack
201005855,Kidnapping
201005855, Theft
201005742,Armed Attack
201005741,Armed Attack
201005799,Arson/Firebombing
201005800,Arson/Firebombing
201000553,Arson/Firebombing
201000555,Arson/Firebombing
201000598,Armed Attack
201005809,Assault
201000256,Assault
201006087,Kidnapping
201005801,Bombing
201000274,Bombing
201000110,Bombing
201000128,Bombing
201000632,Bombing
201000272,Bombing
201000273,Bombing
201000248,Bombing
201000305,Armed Attack
201000371,Kidnapping
201000249,Armed Attack
201000247,Armed Attack
201000275,Armed Attack
201000610,Armed Attack
201005793,Armed Attack
201000117,Armed Attack
201000416,Armed Attack
201000419,Armed Attack
201000676,Armed Attack
201000409,Bombing
201000308,Armed Attack
201000375,Armed Attack
201000103,Armed Attack
201006093,Unknown
201006092,Unknown
201006085,Theft
201006085, Unknown
201000625,Unknown
201000365,Bombing
201000135,Bombing
201000131,Bombing
201000432,Bombing
201000494,Bombing
201000109,Kidnapping
201000469,Armed Attack
201000130,Armed Attack
201005784,Armed Attack
201005785,Armed Attack
201000470,Armed Attack
201000470, Kidnapping
201000396,Armed Attack
201000394,Armed Attack
201000395,Armed Attack
201000439,Armed Attack
201000601,Kidnapping
201000115,Armed Attack
201000115, Hoax
201000382,Arson/Firebombing
201000319,Bombing
201005811,Bombing
201000111,Bombing
201005831,Assault
201000163,Kidnapping
201000695,Bombing
201000147,Bombing
201000149,Bombing
201000160,Bombing
201000145,Bombing
201000413,Bombing
201005750,Bombing
201000323,Armed Attack
201000151,Armed Attack
201000153,Armed Attack
201000157,Armed Attack
201000159,Armed Attack
201005775,Armed Attack
201005777,Armed Attack
201000322,Armed Attack
201000477,Kidnapping
201000611,Kidnapping
201000612,Kidnapping
201000609,Kidnapping
201000613,Kidnapping
201000613, Vandalism
201000602,Kidnapping
201005748,Armed Attack
201005749,Armed Attack
201000586,Armed Attack
201005815,Armed Attack
201000404,Kidnapping
201000404, Unknown
201000616,Arson/Firebombing
201000467,Assault
201000467, Kidnapping
201005990,Assault
201000410,Kidnapping
201000408,Bombing
201000480,Bombing
201000108,Armed Attack
201000108, Bombing
201000108, Suicide
201000335,Bombing
201000335, Suicide
201000197,Bombing
201000196,Bombing
201000483,Bombing
201000479,Bombing
201000484,Bombing
201000367,Bombing
201000471,Bombing
201000337,Armed Attack
201000340,Armed Attack
201006067,Kidnapping
201000192,Armed Attack
201000195,Armed Attack
201000614,Armed Attack
201000398,Armed Attack
201000190,Armed Attack
201000190, Bombing
201000193,Armed Attack
201000191,Bombing
201006063,Armed Attack
201000331,Armed Attack
201006069,Unknown
201005823,Kidnapping
201000342,Bombing
201006062,Bombing
201000424,Bombing
201000422,Bombing
201000206,Bombing
201000207,Bombing
201000204,Bombing
201000204, Near Miss/Non Attack Incident
201000358,Armed Attack
201000407,Armed Attack
201000400,Armed Attack
201000400, Kidnapping
201005816,Armed Attack
201000161,Armed Attack
201000161, Kidnapping
201000161, Threat
201000347,Arson/Firebombing
201000623,Arson/Firebombing
201005778,Armed Attack
201000418,Armed Attack
201000414,Bombing
201000208,Armed Attack
201006061,Unknown
201006060,Unknown
201000366,Unknown
201006025,Unknown
201000405,Bombing
201000406,Bombing
201000593,Bombing
201000357,Bombing
201000301,Bombing
201000318,Bombing
201000309,Bombing
201000299,Bombing
